VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,duration_min,avg_speed_mph,tip_percentage,time_of_day
2,2018-12-21 13:48:30,2018-12-21 13:52:40,3,0.0,1,N,236,236,1,4.5,0.5,0.5,0.0,0.0,0.3,5.8,,,,,
2,2018-11-28 15:52:25,2018-11-28 15:55:45,5,0.0,1,N,193,193,2,3.5,0.5,0.5,0.0,0.0,0.3,7.55,,,,,
2,2018-11-28 15:56:57,2018-11-28 15:58:33,5,0.0,2,N,193,193,2,52.0,0.0,0.5,0.0,0.0,0.3,55.55,,,,,
2,2018-11-28 16:25:49,2018-11-28 16:28:26,5,0.0,1,N,193,193,2,3.5,0.5,0.5,0.0,5.76,0.3,13.31,,,,,
2,2018-11-28 16:29:37,2018-11-28 16:33:43,5,0.0,2,N,193,193,2,52.0,0.0,0.5,0.0,0.0,0.3,55.55,,,,,
1,2019-01-01 00:32:59,2019-01-01 00:32:59,3,0.0,1,Y,237,264,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,,,,,
1,2019-01-01 00:32:24,2019-01-01 00:33:21,0,5.3,1,N,50,50,1,2.5,0.5,0.5,0.75,0.0,0.3,4.55,,,,,
1,2019-01-01 00:00:50,2019-01-01 00:31:48,0,18.0,2,N,132,140,1,52.0,0.0,0.5,7.0,0.0,0.3,59.8,,,,,
1,2019-01-01 00:38:32,2019-01-01 01:09:51,0,8.9,1,N,229,37,1,29.5,0.5,0.5,7.7,0.0,0.3,38.5,,,,,
1,2019-01-01 00:45:19,2019-01-01 00:55:53,0,1.0,1,N,107,170,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,,,,,
1,2019-01-01 00:42:45,2019-01-01 00:44:12,1,0.0,1,N,161,161,3,3.0,0.5,0.5,0.0,0.0,0.3,4.3,,,,,
2,2019-01-01 00:32:56,2019-01-01 00:33:35,2,0.1,1,N,148,148,3,-2.5,-0.5,-0.5,0.0,0.0,-0.3,-3.8,,,,,
1,2019-01-01 00:39:07,2019-01-01 00:39:07,1,0.0,1,N,142,264,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,,,,
